# Image point observations
# 2D pixel coordinates of GCPs in each image
# Origin: top-left of image (matches OpenCV convention)
# x increases rightward, y increases downward
# Units: pixels
# Columns: point_id  image_name  x  y

1122	IMG_0323	1777.210	1730.524
1124	IMG_0323	1803.204	2272.289
1125	IMG_0323	1800.452	2545.495
1126	IMG_0323	1988.095	1098.650
1127	IMG_0323	1994.619	791.900
1128	IMG_0323	1995.000	986.000
1129	IMG_0323	2006.745	1261.804
1130	IMG_0323	2013.537	1702.882
1131	IMG_0323	2051.978	2259.157
1132	IMG_0323	2055.412	2090.037
1133	IMG_0323	2187.519	2446.567
1134	IMG_0323	2193.427	1625.213
1135	IMG_0323	2242.370	616.834
1136	IMG_0323	2245.351	782.196
1137	IMG_0323	2252.793	1495.977
1138	IMG_0323	2270.550	1718.687
1139	IMG_0323	2278.284	2284.722
1140	IMG_0323	2281.565	2536.008
1141	IMG_0323	2267.275	1246.787
1142	IMG_0323	2436.488	877.450
1143	IMG_0323	2470.177	2146.511
1145	IMG_0323	2505.767	1251.685
1146	IMG_0323	2565.471	2048.264
1147	IMG_0323	2575.494	1350.505
1148	IMG_0323	2578.432	1717.731
2000	IMG_0323	2744.000	1562.000
2001	IMG_0323	2752.000	1937.000
2002	IMG_0323	2764.000	2265.000
2003	IMG_0323	2737.000	704.000
2004	IMG_0323	2744.000	1162.000
2005	IMG_0323	2757.000	1663.000
2006	IMG_0323	2787.000	2117.000
2007	IMG_0323	2800.000	2244.000
2008	IMG_0323	2787.000	1009.000
2009	IMG_0323	2798.000	621.000
2010	IMG_0323	2818.000	1661.000
2011	IMG_0323	2812.000	1390.000
2012	IMG_0323	2803.000	865.000
2013	IMG_0323	2809.000	1109.000
2014	IMG_0323	2843.000	2320.000
2015	IMG_0323	2853.000	2572.000
2016	IMG_0323	2852.000	1767.000
2017	IMG_0323	2867.000	521.000
2018	IMG_0323	2894.370	1696.604
2019	IMG_0323	2878.000	1056.000
2020	IMG_0323	2916.000	2350.000
2021	IMG_0323	2907.953	2028.371
2022	IMG_0323	2946.384	2165.554
2023	IMG_0323	2906.000	575.000
2024	IMG_0323	2941.497	718.191
2025	IMG_0323	2935.000	422.000
2026	IMG_0323	3017.000	2768.000
2027	IMG_0323	2969.005	1313.464
2028	IMG_0323	3008.779	2427.717
2029	IMG_0323	2983.658	1663.115
2030	IMG_0323	2966.582	982.883
2031	IMG_0323	3041.471	2637.354
2032	IMG_0323	2991.009	1130.762
2033	IMG_0323	3053.771	923.811
2034	IMG_0323	3079.628	1658.409
2035	IMG_0323	3096.028	2097.322
2036	IMG_0323	3112.963	2501.890
2037	IMG_0323	3098.259	1934.908
2038	IMG_0323	3148.312	451.258
2039	IMG_0323	3157.124	822.928
2040	IMG_0323	3141.827	136.646
2041	IMG_0323	3520.967	468.929
2042	IMG_0323	3552.754	705.342
2045	IMG_0323	3729.774	1643.108
;2048	IMG_0323	4028.000	100.000
3001	IMG_0323	2613.323	2703.850
3004	IMG_0323	2217.022	2705.736
3007	IMG_0323	1755.185	2703.847
3010	IMG_0323	1250.215	2696.704
4004	IMG_0323	1054.958	564.744
4005	IMG_0323	1517.377	561.322
4006	IMG_0323	2021.027	579.161
4008	IMG_0323	347.781		1027.034
4009	IMG_0323	803.028		1010.912
4010	IMG_0323	1309.184	1006.885
4011	IMG_0323	1763.199	998.272
4012	IMG_0323	2237.335	986.936
4015	IMG_0323	580.035		1515.074
4016	IMG_0323	1052.542	1516.189
4017	IMG_0323	1566.461	1514.525
4018	IMG_0323	2028.764	1499.706
4019	IMG_0323	2499.499	1493.047
4021	IMG_0323	343.760		2068.351
4022	IMG_0323	833.190		2057.491
4023	IMG_0323	1322.193	2048.982
4025	IMG_0323	2293.847	2052.434
4027	IMG_0323	150.177		2474.330
4028	IMG_0323	552.240		2476.758
4029	IMG_0323	1106.713	2455.844
4030	IMG_0323	1588.258	2480.029
